Year,Day,Temperature
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=1&amp;view=p1"">1</a>]","[<td class=""data_0_0"">11.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=2&amp;view=p1"">2</a>]","[<td class=""data_0_0"">16.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=3&amp;view=p1"">3</a>]","[<td class=""data_0_0"">19.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=4&amp;view=p1"">4</a>]","[<td class=""data_0_0"">12.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=5&amp;view=p1"">5</a>]","[<td class=""data_0_0"">9.1</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=6&amp;view=p1"">6</a>]","[<td class=""data_0_0"">4.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=7&amp;view=p1"">7</a>]","[<td class=""data_0_0"">10.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=8&amp;view=p1"">8</a>]","[<td class=""data_0_0"">9.0</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=9&amp;view=p1"">9</a>]","[<td class=""data_0_0"">6.9</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=10&amp;view=p1"">10</a>]","[<td class=""data_0_0"">12.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=11&amp;view=p1"">11</a>]","[<td class=""data_0_0"">14.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=12&amp;view=p1"">12</a>]","[<td class=""data_0_0"">17.1</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=13&amp;view=p1"">13</a>]","[<td class=""data_0_0"">13.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=14&amp;view=p1"">14</a>]","[<td class=""data_0_0"">10.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=15&amp;view=p1"">15</a>]","[<td class=""data_0_0"">14.2</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=16&amp;view=p1"">16</a>]","[<td class=""data_0_0"">11.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=17&amp;view=p1"">17</a>]","[<td class=""data_0_0"">15.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=18&amp;view=p1"">18</a>]","[<td class=""data_0_0"">16.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=19&amp;view=p1"">19</a>]","[<td class=""data_0_0"">20.8</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=20&amp;view=p1"">20</a>]","[<td class=""data_0_0"">19.9</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=21&amp;view=p1"">21</a>]","[<td class=""data_0_0"">25.8</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=22&amp;view=p1"">22</a>]","[<td class=""data_0_0"">23.2</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=23&amp;view=p1"">23</a>]","[<td class=""data_0_0"">14.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=24&amp;view=p1"">24</a>]","[<td class=""data_0_0"">12.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=25&amp;view=p1"">25</a>]","[<td class=""data_0_0"">9.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=26&amp;view=p1"">26</a>]","[<td class=""data_0_0"">15.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=27&amp;view=p1"">27</a>]","[<td class=""data_0_0"">20.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=28&amp;view=p1"">28</a>]","[<td class=""data_0_0"">17.8</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=29&amp;view=p1"">29</a>]","[<td class=""data_0_0"">26.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=30&amp;view=p1"">30</a>]","[<td class=""data_0_0"">25.9</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=1&amp;view=p1"">1</a>]","[<td class=""data_0_0"">4.6</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=2&amp;view=p1"">2</a>]","[<td class=""data_0_0"">3.6</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=3&amp;view=p1"">3</a>]","[<td class=""data_0_0"">5.2</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=4&amp;view=p1"">4</a>]","[<td class=""data_0_0"">9.1</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=5&amp;view=p1"">5</a>]","[<td class=""data_0_0"">14.5</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=6&amp;view=p1"">6</a>]","[<td class=""data_0_0"">9.5</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=7&amp;view=p1"">7</a>]","[<td class=""data_0_0"">11.7</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=8&amp;view=p1"">8</a>]","[<td class=""data_0_0"">12.0</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=9&amp;view=p1"">9</a>]","[<td class=""data_0_0"">10.8</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=10&amp;view=p1"">10</a>]","[<td class=""data_0_0"">11.3</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=11&amp;view=p1"">11</a>]","[<td class=""data_0_0"">10.3</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=12&amp;view=p1"">12</a>]","[<td class=""data_0_0"">12.9</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=13&amp;view=p1"">13</a>]","[<td class=""data_0_0"">14.4</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=14&amp;view=p1"">14</a>]","[<td class=""data_0_0"">18.5</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=15&amp;view=p1"">15</a>]","[<td class=""data_0_0"">12.7</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=16&amp;view=p1"">16</a>]","[<td class=""data_0_0"">15.7</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=17&amp;view=p1"">17</a>]","[<td class=""data_0_0"">23.3</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=18&amp;view=p1"">18</a>]","[<td class=""data_0_0"">22.9</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=19&amp;view=p1"">19</a>]","[<td class=""data_0_0"">16.9</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=20&amp;view=p1"">20</a>]","[<td class=""data_0_0"">13.6</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=21&amp;view=p1"">21</a>]","[<td class=""data_0_0"">21.0</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=22&amp;view=p1"">22</a>]","[<td class=""data_0_0"">20.4</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=23&amp;view=p1"">23</a>]","[<td class=""data_0_0"">20.9</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=24&amp;view=p1"">24</a>]","[<td class=""data_0_0"">22.1</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=25&amp;view=p1"">25</a>]","[<td class=""data_0_0"">20.3</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=26&amp;view=p1"">26</a>]","[<td class=""data_0_0"">9.1</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=27&amp;view=p1"">27</a>]","[<td class=""data_0_0"">6.4</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=28&amp;view=p1"">28</a>]","[<td class=""data_0_0"">15.6</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=29&amp;view=p1"">29</a>]","[<td class=""data_0_0"">19.8</td>]"
2019,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2019&amp;month=04&amp;day=30&amp;view=p1"">30</a>]","[<td class=""data_0_0"">12.9</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=1&amp;view=p1"">1</a>]","[<td class=""data_0_0"">13.1</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=2&amp;view=p1"">2</a>]","[<td class=""data_0_0"">9.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=3&amp;view=p1"">3</a>]","[<td class=""data_0_0"">14.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=4&amp;view=p1"">4</a>]","[<td class=""data_0_0"">18.0</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=5&amp;view=p1"">5</a>]","[<td class=""data_0_0"">6.8</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=6&amp;view=p1"">6</a>]","[<td class=""data_0_0"">6.5</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=7&amp;view=p1"">7</a>]","[<td class=""data_0_0"">11.8</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=8&amp;view=p1"">8</a>]","[<td class=""data_0_0"">16.7</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=9&amp;view=p1"">9</a>]","[<td class=""data_0_0"">10.4</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=10&amp;view=p1"">10</a>]","[<td class=""data_0_0"">8.2</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=11&amp;view=p1"">11</a>]","[<td class=""data_0_0"">12.0</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=12&amp;view=p1"">12</a>]","[<td class=""data_0_0"">13.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=13&amp;view=p1"">13</a>]","[<td class=""data_0_0"">9.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=14&amp;view=p1"">14</a>]","[<td class=""data_0_0"">12.8</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=15&amp;view=p1"">15</a>]","[<td class=""data_0_0"">13.1</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=16&amp;view=p1"">16</a>]","[<td class=""data_0_0"">12.1</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=17&amp;view=p1"">17</a>]","[<td class=""data_0_0"">15.4 )</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=18&amp;view=p1"">18</a>]","[<td class=""data_0_0"">9.2</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=19&amp;view=p1"">19</a>]","[<td class=""data_0_0"">14.0</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=20&amp;view=p1"">20</a>]","[<td class=""data_0_0"">11.2</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=21&amp;view=p1"">21</a>]","[<td class=""data_0_0"">12.8</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=22&amp;view=p1"">22</a>]","[<td class=""data_0_0"">7.0</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=23&amp;view=p1"">23</a>]","[<td class=""data_0_0"">9.1</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=24&amp;view=p1"">24</a>]","[<td class=""data_0_0"">9.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=25&amp;view=p1"">25</a>]","[<td class=""data_0_0"">13.7</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=26&amp;view=p1"">26</a>]","[<td class=""data_0_0"">15.6</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=27&amp;view=p1"">27</a>]","[<td class=""data_0_0"">12.3</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=28&amp;view=p1"">28</a>]","[<td class=""data_0_0"">11.7</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=29&amp;view=p1"">29</a>]","[<td class=""data_0_0"">15.9</td>]"
2020,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2020&amp;month=04&amp;day=30&amp;view=p1"">30</a>]","[<td class=""data_0_0"">19.8</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=1&amp;view=p1"">1</a>]","[<td class=""data_0_0"">16.3</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=2&amp;view=p1"">2</a>]","[<td class=""data_0_0"">17.9</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=3&amp;view=p1"">3</a>]","[<td class=""data_0_0"">19.4</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=4&amp;view=p1"">4</a>]","[<td class=""data_0_0"">13.5</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=5&amp;view=p1"">5</a>]","[<td class=""data_0_0"">10.4</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=6&amp;view=p1"">6</a>]","[<td class=""data_0_0"">12.4</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=7&amp;view=p1"">7</a>]","[<td class=""data_0_0"">15.8</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=8&amp;view=p1"">8</a>]","[<td class=""data_0_0"">11.8</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=9&amp;view=p1"">9</a>]","[<td class=""data_0_0"">7.2</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=10&amp;view=p1"">10</a>]","[<td class=""data_0_0"">10.7</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=11&amp;view=p1"">11</a>]","[<td class=""data_0_0"">15.9</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=12&amp;view=p1"">12</a>]","[<td class=""data_0_0"">18.9</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=13&amp;view=p1"">13</a>]","[<td class=""data_0_0"">18.8</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=14&amp;view=p1"">14</a>]","[<td class=""data_0_0"">12.7</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=15&amp;view=p1"">15</a>]","[<td class=""data_0_0"">11.8</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=16&amp;view=p1"">16</a>]","[<td class=""data_0_0"">15.7</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=17&amp;view=p1"">17</a>]","[<td class=""data_0_0"">14.9</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=18&amp;view=p1"">18</a>]","[<td class=""data_0_0"">14.2</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=19&amp;view=p1"">19</a>]","[<td class=""data_0_0"">12.7</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=20&amp;view=p1"">20</a>]","[<td class=""data_0_0"">18.6</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=21&amp;view=p1"">21</a>]","[<td class=""data_0_0"">16.7</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=22&amp;view=p1"">22</a>]","[<td class=""data_0_0"">18.3</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=23&amp;view=p1"">23</a>]","[<td class=""data_0_0"">19.9</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=24&amp;view=p1"">24</a>]","[<td class=""data_0_0"">22.1</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=25&amp;view=p1"">25</a>]","[<td class=""data_0_0"">14.1</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=26&amp;view=p1"">26</a>]","[<td class=""data_0_0"">12.2</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=27&amp;view=p1"">27</a>]","[<td class=""data_0_0"">17.6</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=28&amp;view=p1"">28</a>]","[<td class=""data_0_0"">18.6</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=29&amp;view=p1"">29</a>]","[<td class=""data_0_0"">15.0</td>]"
2021,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2021&amp;month=04&amp;day=30&amp;view=p1"">30</a>]","[<td class=""data_0_0"">13.2</td>]"
